date,title,yt_id,url,active,registrant,debug
20120314,Despicable Me 2 - Teaser (Official),CWPx11fTQdY,www.universalpicturesaustralia.com,False,,"No match for ""UNIVERSALPICTURESAUSTRALIA.COM"".
>>> Last update of whois database: 2023-01-04T05:46:17Z <<<

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expire. This date does not necessarily reflect the expiration
date of the domain name registrant's agreement with the sponsoring
registrar.  Users may consult the sponsoring registrar's Whois database to
view the registrar's reported date of expiration for this registration.

TERMS OF USE: You are not authorized to access or query our Whois
database through the use of electronic processes that are high-volume and
automated except as reasonably necessary to register domain names or
modify existing registrations; the Data in VeriSign Global Registry
Services' (""VeriSign"") Whois database is provided by VeriSign for
information purposes only, and to assist persons in obtaining information
about or related to a domain name registration record. VeriSign does not
guarantee its accuracy. By submitting a Whois query, you agree to abide
by the following terms of use: You agree that you may use this Data only
for lawful purposes and that under no circumstances will you use this Data
to: (1) allow, enable, or otherwise support the transmission of mass
unsolicited, commercial advertising or solicitations via e-mail, telephone,
or facsimile; or (2) enable high volume, automated, electronic processes
that apply to VeriSign (or its computer systems). The compilation,
repackaging, dissemination or other use of this Data is expressly
prohibited without the prior written consent of VeriSign. You agree not to
use electronic processes that are automated and high-volume to access or
query the Whois database except as reasonably necessary to register
domain names or modify existing registrations. VeriSign reserves the right
to restrict your access to the Whois database in its sole discretion to ensure
operational stability.  VeriSign may restrict or terminate your access to the
Whois database for failure to abide by these terms of use. VeriSign
reserves the right to modify these terms at any time.

The Registry database contains ONLY .COM, .NET, .EDU domains and
Registrars.
"
20120427,Snow White and the Huntsman - Setting The Stage,0DkopmhkBR4,www.snowwhiteandthehuntsmanmovie.com.au,False,,
20120328,Snow White and the Huntsman - The First Great Battle,KLl0eXZHtzE,www.snowwhiteandthehuntsmanmovie.com.au,False,,
20120427,Snow White and the Huntsman - The Queen,S-73-MzAQSw,www.snowwhiteandthehuntsmanmovie.com.au,False,,
20120501,Snow White and the Huntsman - Beauty and Evil,jlwRpXDfZCw,www.snowwhiteandthehuntsmanmovie.com.au,False,,
20120430,Snow White and the Huntsman - Inside the Action,9S1GB7UTtOY,www.snowwhiteandthehuntsmanmovie.com.au,False,,
20120501,Snow White and the Huntsman - Devouring Youth,ukmQQHM-ppU,www.snowwhiteandthehuntsmanmovie.com.au,False,,
20120501,Snow White and the Huntsman - Death in the Throne Room,oCZ2oZY3mgA,www.snowwhiteandthehuntsmanmovie.com.au,False,,
20120427,Snow White and the Huntsman - A Look Inside,t_vUmn8LvKk,www.snowwhiteandthehuntsmanmovie.com.au,False,,
20120319,Snow White and the Huntsman - Official Trailer,OXd_39nK97k,www.snowwhiteandthehuntsmanmovie.com.au,False,,
20120518,Snow White and the Huntsman - The Drunken Huntsman,kIB_2SqyXbw,www.snowwhiteandthehuntsmanmovie.com.au,False,,
20120320,Snow White and the Huntsman | Official Movie Trailer 2 [HD] 2012,7bJ0M6ln0tY,www.snowwhiteandthehuntsman.com.au,False,,
20120702,TED - John Asks Ted,jFb2x3n8gTI,www.tedthemovie.com.au,False,,
20120626,TED - A Look Inside,oohBjyV5YxQ,www.tedthemovie.com.au,False,,
20120419,TED - Official Red Band Trailer,1jOLmSpqAVw,www.tedthemovie.com.au,False,,
20120702,TED - Seth's Directorial Debut,0qniCoQGJlY,www.tedthemovie.com.au,False,,
20120827,Moonrise Kingdom - Cousin Ben,8jZXXJQwTPI,www.moonrisekingdommovie.com.au,False,,
20120816,Moonrise Kingdom 15 second TVC,0dUGD_e7qIw,www.moonrisekingdommovie.com.au,False,,
20120430,Moonrise Kingdom Trailer A,GKwPs4xvhJs,www.moonrisekingdommovie.com.au,False,,
20120531,Les Misérables Trailer A,rLXpOBA3ROs,www.lesmismovie.com.au,False,,
20120615,TED - 15 second TVC,wdMnCaR5Uo0,www.tedisreal.com,True,,
20120608,"Ted Official Green Band Trailer -- from Seth McFarlane, creator of Family Guy [Universal Pictures]",XOtBkTB7pQE,www.tedisreal.com,True,,
20120612,"Ted Official Red Band Trailer -- from Seth McFarlane, creator of Family Guy [Universal Pictures]",rSkFJm-eP8o,www.tedisreal.com,True,,
20121030,Pitch Perfect - Meet Bumper,yKdpFRjVcwE,www.pitchperfectmovie.com.au,False,,
20121030,Pitch Perfect - Chloe And Aubrey Recruit Fat Amy,vCvyolMIccg,www.pitchperfectmovie.com.au,False,,
20121030,Pitch Perfect - Chole Tells Aubrey She Has Nodes,tZsuZHriCXI,www.pitchperfectmovie.com.au,False,,
20121102,Pitch Perfect - Meet Stacie,5LIxoJgtH3U,www.pitchperfectmovie.com.au,False,,
20121030,Pitch Perfect - Bellas VS Trebels,6CfCghrmZbw,www.pitchperfectmovie.com.au,False,,
20121030,Pitch Perfect - Burrito Drive By,16SD76gwpjs,www.pitchperfectmovie.com.au,False,,
20121127,"Pitch Perfect 15"" TVC",iuqp3m3U0NQ,www.pitchperfectmovie.com.au,False,,
20121030,Pitch Perfect - On The Set with Ester Dean,PALyqEnUlDI,www.pitchperfectmovie.com.au,False,,
20121030,Pitch Perfect - Meet Beca,OVlPluNUq5s,www.pitchperfectmovie.com.au,False,,
20121030,Pitch Perfect - Meet Aubrey,-B8xzv4eC_c,www.pitchperfectmovie.com.au,False,,
20120903,"Pitch Perfect - The Bellas Remix ""Just The Way You Are""",lmdkVNSXI1E,www.pitchperfectmovie.com.au,False,,
20120831,Pitch Perfect - Riff Off Clip,bcE6RiN9iyg,www.pitchperfectmovie.com.au,False,,
20120620,Pitch Perfect - Trailer 1,y6IlMh6G1dg,www.pitchperfectmovie.com.au,False,,
20120831,Pitch Perfect - A Look Inside,9LZ77c3tBJA,www.pitchperfectmovie.com.au,False,,
20121030,Pitch Perfect - Meet Fat Amy,OUAfQRAcrIs,www.pitchperfectmovie.com.au,False,,
20130116,Anna Karenina - The story,Wk0--edSucY,www.annakareninamovie.com.au,False,,
20121127,Anna Karenina - Trailer B,SsXvtM_lhBo,www.annakareninamovie.com.au,False,,
20130116,Anna Karenina - Movement,2sfvudKvRis,www.annakareninamovie.com.au,False,,
20130116,Anna Karenina - Keira & Joe,1uLAIL6yyzM,www.annakareninamovie.com.au,False,,
20121127,Anna Karenina - Concept Trailer,mkacQbchKl0,www.annakareninamovie.com.au,False,,
20120816,Anna Karenina - Trailer A,ADoeHrAAqPk,www.annakareninamovie.com.au,False,,
20130116,Anna Karenina - Joe's Vision,xustsnPWh70,www.annakareninamovie.com.au,False,,
20130116,Anna Karenina - Tom Stoppard,U9WL0MqLdSY,www.annakareninamovie.com.au,False,,
20121120,This Is 40 - Trailer C,kmlK3EsF4Pc,www.thisis40movie.com.au,False,,
20120821,This Is 40 - Official Trailer,IECtcJ6yC04,www.thisis40movie.com.au,False,,
20121010,Savages Featurette - Meet Chon,mby_8RJ0h4E,www.savagesmovie.com.au,False,,
20120822,Savages - Trailer B,MHWRVix1ewU,www.savagesmovie.com.au,False,,
20121002,Savages Featurette - Meet Elena,CxWduPVbKvY,www.savagesmovie.com.au,False,,
20121002,Savages Featurette - Meet Lado,J177JJEIgTw,www.savagesmovie.com.au,False,,
20121010,Savages Featurette - Meet Ben,SDNqAkmUeWo,www.savagesmovie.com.au,False,,
20121012,Savages Q&A with Benicio Del Toro,UQK85YRfkYk,www.savagesmovie.com.au,False,,
20120822,Savages - Trailer 1,lkJmoFNRxOQ,www.savagesmovie.com.au,False,,
20120927,Savages Featurette - I AM A SAVAGE,5vWpB44u_2U,www.savagesmovie.com.au,False,,
20121002,Savages Featurette - Meet O,pwsN0RrtqZk,www.savagesmovie.com.au,False,,
